text,intent,or_city,dst_city,str_date,end_date,budget
where can i go from fort lauderdale...for free?,BookFlight,Fort Lauderdale,,,,free
"hi there, i'm trying to buy a nice anniversary surprise for my lovely parents.",BookFlight,,,,,
"i would like to find a hotel near a park, ideally. i only have 4500 between me and my assistant. we were thinking about looking for trips to manaus first, we can leave from anywhere.",BookFlight,,Manaus,,,4500
i'm looking for a trip between september 1 and 11,BookFlight,,,September 1,11,
hi im from neverland! and i want to go to mos eisley,BookFlight,neverland,Mos eisley,,,
i need to book a trip to rio de janeiro,BookFlight,,rio de janeiro,,,
need two tickets out of buenos aires!,BookFlight,Buenos Aires,,,,
you too!,BookFlight,,,,,
you do flights from north vancouver to c-bus?,BookFlight,north vancouver,c-bus,,,
i need a booking for 6 adults from milan to punta cana,BookFlight,Milan,Punta Cana,,,
houston to milan for 3,BookFlight,Houston,Milan,,,
hi there. could you please get me from cleveland to manaus?,BookFlight,Cleveland,Manaus,,,
hi i am looking to go to punta cana with my three friends,BookFlight,,Punta Cana,,,
"good afternoon :slightly_smiling_face: i want to book a vacation for myself, my husband and our daughter. the time frame for our holiday is between august 31st and september 9th",BookFlight,,,August 31st,September 9th,
i would like to go to hiroshima from seoul for 3500,BookFlight,Seoul,Hiroshima,,,3500
can you get me out of pittsburgh on sunday the 11th,BookFlight,Pittsburgh,,Sunday the 11th,,
hi. i'd like to find a trip to san diego. i can leave from belo horizonte. i'd like to travel between august 27th and august 31st if possible. my dates are flexible.,BookFlight,Belo Horizonte,San Diego,August 27th,August 31st,
"hi there! i have 3800 to spend
i live in milan
would i be able to get to philadelphia?",BookFlight,Milan,Philadelphia,,,3800
kingston to salvador u got this?,BookFlight,kingston,salvador,,,
"planning a honeymoon, please help! can you get me on a flight out of punta cana to la paz on august 24",BookFlight,Punta Cana,La Paz,August 24,,
hi. i need to get away stat.,BookFlight,,,,,
"hey, never done this before, but i'll give it a try! i finally have some time off work and i want to see if you can help me book my vacation!",BookFlight,,,,,
"i need a trip to marseille on these exact dates: september 9 to september 13
flying from manaus",BookFlight,Manaus,Marseille,September 9,September 13,
"hi there, i need to book a trip to la paz. and i'll be departing from belem.",BookFlight,Belem,La Paz,,,
wanna get my parents out of kingston. i've got 2000. need them gone between september 20th and october 10th,BookFlight,Kingston,,september 20th,october 10th,
"i would like to take my soon to be wife on a great honeymoon, she deserves the best but we can only afford something up to 4200 for 6 days. we had discussed going to punta cana from sapporo where our wedding will take place on the 17th, we can leave after that.",BookFlight,Sapporo,Punta Cana,17th,,4200
"hey i need to get out of here, just need some space to myself!",BookFlight,,,,,
hi there,BookFlight,,,,,
i want to fly from kabul to denver. 10 adults,BookFlight,Kabul,denver,,,
looking at tijuana and i would likely be leaving from ciudad juarez asap,BookFlight,ciudad juarez,tijuana,asap,,
"hello, i have 15 vacation days available between june 1st and august 31st. i am leaving from theed. i would like to go somewhere with lots of sunshine.",BookFlight,Theed,,June 1st,August 31st,
"hayyyy so i just got married :smile: we totally forgot about booking our honeymoon. but yeah, the two of us wanna go to fortaleza. the wedding is in tijuana, and we wanna go on august 27",BookFlight,Tijuana,Fortaleza,august 27,,
"three words: alexandria to cencun. please book a trip for us. two adults. leaving asap, returning before sep 6",BookFlight,Alexandria,Cencun,ASAP,Sep 6,
hello bot. i want to go to manas from boston on september 2,BookFlight,Boston,Manas,September 2,,
sept 12 to 22. toluca to naples,BookFlight,toluca,naples,sept 12,22,
"hi. paris to curitiba on september 24 please
i can spend 2300 dollars and must be home by 27th",BookFlight,paris,curitiba,september 24,27th,2300 dollars
"hi, send me on a 10 day-trip away from cairo. i'd like to leave august 15. send me to sendai. money is not object",BookFlight,Cairo,Sendai,August 15,,
i heard madonna and her friend were going to santa cruz. i need to go there and try to get a dope picture for people magazine so i can get rich quick.,BookFlight,,Santa Cruz,,,
i want to go to pittsburgh from boston please.,BookFlight,Boston,Pittsburgh,,,
"hey look, i got to get to lima. i need to trap a pokemon ",BookFlight,,Lima,,,
hi im from termina can we find a vacation that starts on the 13th?,BookFlight,termina,,the 13th,,
i want to get away for a bit! im from houston,BookFlight,Houston,,,,
"i have clients to meet with in rome, i need to travel there some time soon - anytime, any price.",BookFlight,,Rome,,,
"i know this is an uncommon trip but i gotta take my 2 children to a great and venerable hospital in sacramento. i got 5400 to spend, can you please please help me. leaving from brasilia",BookFlight,Brasilia,Sacramento,,,5400
get me to atlanta!,BookFlight,,Atlanta,,,
"hey man, imma leave from godric's hollow on august 27, 2016 and go to goiania. can't pay more than 4300usd. watcha got?",BookFlight,Godric's Hollow,Goiania,"August 27, 2016",,4300USD
i need to fly to fukuoka from hiroshima,BookFlight,Hiroshima,Fukuoka,,,
"ok i'm turning 20 soon daddy promised that i would get to take me and 7 friends wherever i wanted. get me from sydney to miami
mind you we only fly business class
and stay at the best hotels",BookFlight,Sydney,Miami,,,
"i wanted to take my children - there are seven - and my beautiful wife on a vacation somewhere
we would be traveling from fukuoka, and have 13700 to spend
do you have flights to santo domingo?",BookFlight,Fukuoka,Santo Domingo,,,13700
do you like hotels?,None,,,,,
"going to buenos aires. getting out of montreal for my bday
no budget, don’t care about the date cause my bday is every day
5 stars minimum",BookFlight,Montreal,Buenos Aires,,,
you do flights from north vancouver to washington?,BookFlight,North Vancouver,Washington,,,
i need to get to atlanta pronto. i have to leave on august 25th.,BookFlight,,Atlanta,August 25th,,
i've never done this before but i hope it works. i heard there's cheaper deals on travel if i do it on the computer.  i want to go to cancun please.,BookFlight,,Cancun,,,
i want to go to denver from frankfurt for under 2900 from september 8th to 13th,BookFlight,frankfurt,denver,september 8th,13th,2900
i need to maybe go to to ciudad juarez,BookFlight,,Ciudad Juarez,,,
gotta go to hamburg. in puebla now,BookFlight,Puebla,Hamburg,,,
i wanna go on a vacation with my wife and 4 kids. our budget is 3300 and we want to travel between september 6th and 21st. we were looking at going to denver from dallas.,BookFlight,Dallas,Denver,september 6th,21st,3300
 get me to puebla ,BookFlight,,puebla,,,
hey im trying to go on spriiiiing breeeaaaakkkk. san francisco is poppin right? lets go there,BookFlight,,SAN FRANCISCO,,,
"hi there! hi there, i'm looking to book a trip from tel aviv, but i'm still undecided about destinations.
i have a couple of places in mind though.",BookFlight,Tel Aviv,,,,
looking to go from mos eisley to kyoto on august 27,BookFlight,mos eisley,kyoto,august 27,,
"hi there! i'm getting married in phili next week and we are having the most beautiful wedding ever! with all the planning for the wedding, we forgot to plan our honeymoon! :airplane_departure: we are pretty broke but would still like to take a trip to curitiba! :blush:",BookFlight,Phili,Curitiba,,,pretty broke
"looking to book a swanky business trip - i have a few fish on the hook and i need some impressive digs to reel em in. there’s 5 of us, we’re in munich, and i want to hear about your best hotel in montreal
we’re leaving after 9/11",BookFlight,Munich,Montreal,after 9/11,,
"finally get to take a vacation! i'm looking for trips leaving from nagoya
what do you have going to rome?",BookFlight,Nagoya,Rome,,,
heyyyy there,BookFlight,,,,,
i need to get to rome! it’s a family emergency! i’m in tel aviv!,BookFlight,Tel Aviv,Rome,,,
"hey there, i'd love a trip from recife to barcelona please, can you help  me?",BookFlight,Recife,Barcelona,,,
fam vacation services please,BookFlight,,,,,
i have a modest and polite request for you to send me from sapporo to punta cana,BookFlight,sapporo,punta cana,,,
hey i have an internship abroad i need to check some things out. i’m leaving kochi september 8 at the earliest.. what’s available in naples?,BookFlight,Kochi,Naples,September 8,,
"naples to santa cruz. leaving sunday aug 21
budget $2000
got anything for me bot?
oh and this is for one person",BookFlight,Naples,Santa Cruz,Sunday Aug 21,,$2000
hi! i would like to go to naples from london. i have 1200 and can go whenever.,BookFlight,London,Naples,,,1200
spring break gurl whats up yaassss,BookFlight,,,,,
hey hey! so spring break is sept 26 - oct 3.,BookFlight,,,Sept 26,Oct 3,
how about batman movie,None,,,,,
"hello there, i'm looking for a break from the routine. i live in recife and i'm thinking of going to calgary",BookFlight,Recife,Calgary,,,
i have 8 days for vacation starting on september 6 from dallas. what can you offer me?,BookFlight,dallas,,september 6,,
i wanna go 2 santa cruz from kabul,BookFlight,kabul,santa cruz,,,
Book me a hotel tomorrow night,None,,,,,
"hi, i have a big family and we can't afford a big vacation, we want to go to atlantis from mos eisley for $3600 at most.",BookFlight,Mos Eisley,Atlantis,,,$3600
Book me a hotel next week,None,,,,,
"good afternoon, my man! i'd like to plan a honeymoon in naples for 5 days leaving from madrid on august 17. what is available?",BookFlight,Madrid,Naples,August 17,,
"hi there. first off, do you do any flights departing jerusalem?",BookFlight,JErusalem,,,,
i want to go on a vacationg from september 18th to september 22nd to monterrey from curritiba for under 3100,BookFlight,Monterrey,Curritiba,september 18th,september 22nd,3100
hi wozbot! my husband and i are recently married and madly in love. we're looking for a fantastic honeymoon vacation. we live in mannheim and we'd like to go to kyoto for 6 days leaving on august 19. what can you do for me?,BookFlight,Mannheim,Kyoto,August 19,,
i live in toluca but want 2 vacation somewhere can u help me,BookFlight,toluca,,,,
"hi there. i have 2000 to spend on my lovely parents
i want to get them out of puebla sometime this month
september 3 to 16
whats the longest trip you can book me?",BookFlight,Puebla,,September 3,16,2000
"ahhhh hey bud. i need to get the heck outta tel aviv asap
can ya get me to london for, say, 2900? and today please",BookFlight,tel aviv,London,TODAY,,2900
i need a 5 star getaway in toronto from beijing immediately,BookFlight,beijing,toronto,immediately,,
"sl to rome, what hotels you got?",BookFlight,SL,Rome,,,
"everyone in europe is raving about this artisanal bratwurst they’re serving up in hamburg, and i must get myself other there as soon as i can to blog about it! do you offer flights there out of seattle?",BookFlight,Seattle,Hamburg,as soon as I can,,
"hi, i'd like to book a trip for my family please.",BookFlight,,,,,
im broke but wanna dip out of north vancouver,BookFlight,north vancouver,,,,
"i.... i am the biggest popstar. in the world i wanna take a lowkey trip. somewhere beautifully hot
porto?
i want to leave from athens",BookFlight,athens,porto,,,
we have decided to go visit my sister in sao paulo. what do you have out of santa cruz?,BookFlight,Santa Cruz,Sao Paulo,,,
"good morning.  we are planning a family reunion and since we are spread out all over the world, we have decided on a couple of possibilities. can you please give me information on packages available in fukuoka? my husband and i would be leaving from manaus and we will be travelling with our 4 children.",BookFlight,Manaus,Fukuoka,,,
i want to go to brasilia from birmingham,BookFlight,birmingham,brasilia,,,
"ok so i've been dying to visit goiania and i can finally take some time off. what do you have leaving from berlin, preferably between august 25th and september 3rd?",BookFlight,Berlin,Goiania,August 25th,september 3rd,
hi. i need to get the hell out of minneapolis,BookFlight,minneapolis,,,,
i would like to go on a trip with my wife and 2 kids. our budget is 3700 and we'd like to go between august 27th and september 10th. i've been thinking about going to curitiba from paris,BookFlight,Paris,Curitiba,august 27th,september 10th,3700
Book me a restaurant,None,,,,,
i need to impress some clients with an extravagant trip,BookFlight,,,,,
suh,BookFlight,,,,,
hi im a failing author and i need some headspace looking to get away with my family! can you help e out?,BookFlight,,,,,
i want vacation plz,BookFlight,,,,,
hello. i am travelling with a pretty big group soon - september 24th we'll leave,BookFlight,,,September 24th,,
hi! can you take me to hiroshima from calgary?,BookFlight,Calgary,Hiroshima,,,
can you get 4 strapping men out of sacramento between the dates of august 31 to september 20,BookFlight,Sacramento,,August 31,September 20,
"hi i'd like to go to caprica from busan, between sunday august 21, 2016 and wednesday august 31, 2016",BookFlight,Busan,Caprica,"Sunday August 21, 2016","Wednesday August 31, 2016",
we're finally going on vacation isn't that amazing? we have lots of money- 15600 even!,BookFlight,,,,,15600
helllo,BookFlight,,,,,
las vegas to mexico city for 7 please,BookFlight,Las Vegas,Mexico City,,,
i have 5 days vacation and i want some information on packages starting on or after september 8th from rome.,BookFlight,,Rome,September 8th,,
get the 17 of us out of tofino for a few days! the majority of us want to go to lima so let's see deals for those!,BookFlight,Tofino,Lima,,,
hi im looking for a nice destination that i could go to from columbus,BookFlight,Columbus,,,,
"yo, im from hiroshima. my b-day is coming up soon and me and my 3 amigos wanna party in recife.",BookFlight,Hiroshima,Recife,,,
i'm looking to book a trip from hamburg starting august 15th. i have a 14 day vacation. what packages can you recommend?,BookFlight,Hamburg,,August 15th,,
"hey. i need to get from goiania to hamburg
budget isn't an issue, can you just give me the best options?",BookFlight,Goiania,Hamburg,,,
"my boss gave me 8 days off! get me out of kingston on sept 6, or shortly after",BookFlight,Kingston,,Sept 6,,
"hi im from houston and i want to go to san antonio, but i have strict dates can you help?",BookFlight,Houston,San Antonio,,,
i am the happy father of 3 children,BookFlight,,,,,
"i am in the middle of closing a huge multi million deal and i need you to send me and my 2 clients to the ritziest place in kobe, no expense to be spared.",BookFlight,,Kobe,,,
"say, with just 1900 dollars and little more than a dream, could i make it from seattle to north vancouver?",BookFlight,Seattle,North Vancouver,,,1900
"hello, i want to leave from seoul on august 27 and return on september 9. you can go to manaus.",BookFlight,Seoul,Manaus,August 27,September 9,
morning! lovely weather we are having :smiley:  are you in st. louis too? i need to book a trip!,BookFlight,St. Louis,,,,
get me to manaus from toronto,BookFlight,Toronto,Manaus,,,
i would like to go to san juan,BookFlight,,San Juan,,,
"hey there how are you i am chef
for pastry cake. i want go to coruscant
live sydney
pls help me thx
need to try cookie
good there",BookFlight,sydney,coruscant,,,
get me out of berlin and to campinas. business class flights only. get me the best hotel in campinas,BookFlight,Berlin,Campinas,,,
hi there. can i use your services to leave puebla?,BookFlight,Puebla,,,,
"hey, i'm looking to book my honeymoon from houston to santo domingo for a week on august 26th. my budget is 1500.",BookFlight,Houston,Santo Domingo,August 26th,,1500
so my friend and i want to go to hamburg,BookFlight,,Hamburg,,,
"hey hey hi! i've got a 10 day vacation break earned and can take it any time after the second of september so, i'd like to explore my options departing from rio de janeiro",BookFlight,Rio de Janeiro,,second of September,,
two tickets from toronto to dublin please!,BookFlight,Toronto,Dublin,,,
"hi, me and my family want to take a trip to kakariko village.",BookFlight,,Kakariko Village,,,
im leaving kingston need to go to rosario,BookFlight,kingston,rosario,,,
i would like to go to salvador from detroit with 4 adults and 11 children total,BookFlight,Detroit,Salvador,,,
"hi, i want to take my kid to maceio. will you be able to help me with this trip?",BookFlight,,Maceio,,,
hey i think i want to go to kyoto,BookFlight,,KYOTO,,,
im in tijuana find me a flight to curitiba aug 27 to sept 4,BookFlight,TIJUANA,CURITIBA,AUG 27,SEPT 4,
"look, i've got to get myself out of santiago my friend and i would like to try and see denver we want a 5 start hotel, too. can you get us a trip that ends august 31st?",BookFlight,Santiago,Denver,,August 31st,
wooooohoooooo it's spring break time let's go get wet and wild! we need to book a place in the middle of the action in dallas. close to beach for sure.,BookFlight,,Dallas,,,
i wan to go to porto alegre from tokyo,BookFlight,Tokyo,Porto alegre,,,
out of kabul,BookFlight,kabul,,,,
"i want to go to jerusalem to ulsan. i am bringing 11 adults and 14 children and i will spend at most, 3100.",BookFlight,Ulsan,Jerusalem,,,3100
i want to go to kingston from queenstown with my bestie! can you get me there? i want the best you have! highest ratings!,BookFlight,Queenstown,Kingston,,,
i wanna go from tijuana to goiania for 4500,BookFlight,Tijuana,Goiania,,,4500
hey i think you can help me get from stuttgart to toronto right??,BookFlight,Stuttgart,Toronto,,,
so i live in long beach. what do you have for cairo?,BookFlight,Long Beach,Cairo,,,
one ticket from belem to punta cana,BookFlight,Belem,Punta Cana,,,
hi my work colleagues and i want to go to the car rally in santo domingo. we can leave from belem. the rally starts august 24.,BookFlight,Belem,Santo Domingo,August 24,,
it seems that a lot of us grandmas are winning the jackpot lately haha  i guess we're the ones at the casino the most. oh yes i want to take my six bratty grandchildren with me and spoil them even more,BookFlight,,,,,
hello my little pet. i have a little angel to see to in phoenix and i may leave from anywhere,BookFlight,,phoenix,,,
"katniss here, im in rio de janeiro and need to get to paris to shoot a film",BookFlight,Rio de Janeiro,Paris,,,
"i’m planning a family vacation for my half dozen little rug rats and wife! we’ve got fifteen grand put aside for this trip so spare no expense finding us a great stay! tijuana is where we live, and we have been talking about going to san diego.",BookFlight,Tijuana,San Diego,,,fifteen grand
"i need to get back home asap, its an emergency",BookFlight,,,,,
"hey, i live in beautiful toronto but i kinda need a break from my friends, can you find me a getaway?",BookFlight,Toronto,,,,
"hello. i'd like to leave from tel aviv
and go to puebla",BookFlight,Tel Aviv,Puebla,,,
"hi there, i live in dublin but i've always wanted to see what's good in goiania. do you think that if i forked over $1800, you can get me there?",BookFlight,Dublin,Goiania,,,$1800
i want to go to san juan from washington. with 4 friends,BookFlight,Washington,san juan,,,
please check if there is a flight to naples from fort lauderdale leaving august 31,BookFlight,Fort Lauderdale,Naples,August 31,,
"get me a flight from denver to milan. leave this friday
get me the best hotel money can buy",BookFlight,DENVER,MILAN,FRIDAY,,
"hi there :slightly_smiling_face: i just managed to get my boss to agree to a huge vacation time slot!! i am so excited to do some traveling. i'm traveling from hamburg and i have a few cities i'm thinking of seeing...
do you have packages to tijuana?",BookFlight,Hamburg,Tijuana,,,
belem to busan. aug 28 or later. $6200 budget. nicest hotel you got capisci?,BookFlight,Belem,Busan,Aug 28,,$6200
wohoo its spring break!!! im in tjiuana and i need to get out of here,BookFlight,tjiuana,,,,
"hello! i live in munich and i'd like to book any kind of trip between monday, august 15th and friday august 26th for 3 adults and 3 kids.",BookFlight,Munich,,"Monday, August 15th",Friday August 26th,
i am a world-renowned pastry chef and i need to travel to st. petersburg - stat!,BookFlight,,St. Petersburg,,,
im leaving from belo horizonte. send me to dallas,BookFlight,belo horizonte,dallas,,,
got a big family trip coming up tomorrow that i havent booked yet - ha! we have 13800 to bring our 5 kids somewhere. need to be back by september 17 for work,BookFlight,,,,september 17,13800
"hi. vacation please
5300 dollars for 8 days and i leave from pittsburgh i go to anywhere",BookFlight,Pittsburgh,,,,5300
looking to get out of town quick with the family,BookFlight,,,,,
hi i want to go on vacation i leave from cancun,BookFlight,cancun,,,,
"greetings m8! im coming out of st. petersburg, but i need some time for my lonesome or at least imagine some, can you tell me about some packages to kingston",BookFlight,st. petersburg,Kingston,,,
"hi there, i'd love to book a vacation. i need a break!",BookFlight,,,,,
i want to go to burlington from valencia,BookFlight,Valencia,Burlington,,,
this is probably a waste of time but what the hell. just wanted to see if i can get to chicago from ulsan,BookFlight,Ulsan,Chicago,,,
i'm getting married and my husband really want to go to kobe on our honeymoon,BookFlight,,Kobe,,,
good morning.,BookFlight,,,,,
"i have investment meetings in sao paulo, the dates are flexible, but i need to get there asap",BookFlight,,Sao Paulo,asap,,
me again... i'm still burnt out from work,BookFlight,,,,,
"i need to get from sacramento to osaka on sept 1
or shortly thereafter",BookFlight,Sacramento,Osaka,Sept 1,,
i need to get to madrid please - quickly.,BookFlight,,Madrid,,,
i want to go to dublin,BookFlight,,Dublin,,,
we must go to atlanta!,BookFlight,,Atlanta,,,
"they say that i’m a dreamer, but i’m not the only one. and today i am dreaming of a trip out of monterrey
can you tell me if i can get to curitiba, if i had 2800 to my name?",BookFlight,monterrey,curitiba,,,2800
whats your best hotel in paris?,BookFlight,,paris,,,
do you have packages leaving friday september 16 from denver?? i got 11 days,BookFlight,Denver,,September 16,,
i'm looking to pay 0 to get out tijuana,BookFlight,Tijuana,,,,0
Book me a hotel in Toronto,None,,,,,
i have a movie shoot to go to in salvador. get me there from belem,BookFlight,Belem,Salvador,,,
i would like to go to nagoya please :slightly_smiling_face:,BookFlight,,Nagoya,,,
hi id like to go to baltimore from brasilia. i would like to get 1 children ticket and 1 adult ticket,BookFlight,brasilia,baltimore,,,
yo! i've rounded the crew up and we want to do something huge,BookFlight,,,,,
"hi. i'm looking to go to st. petersburg from leon
can you do this for 3100?",BookFlight,leon,St. Petersburg,,,3100
"hi there! i only have 5 days of vacation, and i want to do the best i can with it! can you recommend packages starting august 30th?",BookFlight,,,August 30th,,
i want to go to monterrey from tofino,BookFlight,Tofino,Monterrey,,,
"hey there, i'm excited to book a trip somewhere for me and my colleagues.",BookFlight,,,,,
seattle it is!!,BookFlight,,Seattle,,,
next stop is san jose! can you get me there?,BookFlight,,San Jose,,,
"u do buenos aires to hiroshima, and if so at what cost",BookFlight,buenos aires,hiroshima,,,
this is my first time booking a trip with a machine....hope this works....so i will be very specific. i need to go to berlin. from sao paulo. we are 3 adults and 1 child. we have $14900 at most to spend on this trip. can you figure this out? cause if not i will call a travel agent. please confirm that you comprehend.  over and out.,BookFlight,Sao Paulo,Berlin,,,$14900
i have 11 days for vacation this year! i only have $400 to spend tho. i leave from santiago. what kind of packages are there?,BookFlight,Santiago,,,,$400
hello. here is what my perfect trip would be: a trip for one adult (me) and two children from st. petersburg to melbourne.,BookFlight,St. Petersburg,Melbourne,,,
"i need to get a pic of madonna and her pal, they are going to be in kobe and i want to leave from queenstown",BookFlight,Queenstown,Kobe,,,
hi there. do you have flights out of resife?,BookFlight,Resife,,,,
i have never used this chat thing before i hope i am doing it right i need to book a most awesome vacation for my grandson and i,BookFlight,,,,,
do you have hotels in jerusalem?,BookFlight,,Jerusalem,,,
"hello. i have 12 vacation days saved up and i’m looking to explore my options departing from mexico city. budget doesn’t matter, but i can’t leave until monday, the 12th of september. what’s available?",BookFlight,Mexico City,,12th of September,,
hello,BookFlight,,,,,
"hi there. i need to go to tel aviv for a meeting
are there any flights from paris?",BookFlight,Paris,Tel Aviv,,,
hay i am doing some business globetrotting just me and a colleague. we need to get to fukuoka some time between august 27 and september 6,BookFlight,,Fukuoka,august 27,september 6,
"hi there. need to book a trip to denver
i live in houston
sept 10 to 11",BookFlight,houston,denver,sept 10,11,
cancel this session,Cancel,,,,,
i have 3900 to spend and not a penny more. i want to go to kochi to punta cana. what do you have for me?,BookFlight,Kochi,Punta Cana,,,3900
"hi there, i need to go from minneapolis to my internship but i don’t have much money to spare. could i do detoit for less than 1400?",BookFlight,Minneapolis,Detoit,,,1400
"hi, i'm looking to book a flight to berlin please.",BookFlight,,Berlin,,,
"yes im looking for mewtwo in marseille ook? leaving from fortaleza
with 2200 sept 11th",BookFlight,Fortaleza,Marseille,sept 11th,,2200
"hey there, so i've got a little bit of a dilemma on my hands..",BookFlight,,,,,
i need a 5 star hotel in berlin,BookFlight,,Berlin,,,
"hey buddy. i have some work to do
looking to domesticate a savage little tea cup yorkie in pittsburgh
i am available between the 12th and 19th of september
i can leave from wherever, so long as it costs me under 3700 bucks",BookFlight,,Pittsburgh,12th,19th of September,3700
i need to go to minneapolis on august 17 on business and i need you take care of this quickly and efficiently. can you do that for me?,BookFlight,,Minneapolis,August 17,,
i want to go to san juan.,BookFlight,,San Juan,,,
i wouldn't define it amazing but yes i need do go back to minneapolis!,BookFlight,,Minneapolis,,,
i certainly am! can you call vitoria to los angeles an adventure? if so thats what i’d like to book,BookFlight,vitoria,los angeles,,,
i need to get to fortaleza on september 8th or soon after!,BookFlight,,Fortaleza,September 8th,,
do you do burlington to tokyo? i’m looking for september 2 to 13 specifically,BookFlight,Burlington,Tokyo,September 2,13,
you can help me by booking a flight out of cordoba to salvador for me and my friend. leaving asap and back before september 8. oh and i'll need the best hotels you can get,BookFlight,Cordoba,Salvador,ASAP,September 8,
"my name is lorraine. i would like to book a vacation for myself and my three darling grandchildren, leaving as soon as possible but returning before the children start school on september 19.",BookFlight,,,as soon as possible,September 19,
hi ,BookFlight,,,,,
"hello. i have been offered a prestigious, exclusive, international internship
they are very uncommon
very rare and very impressive
anyway
i'm looking to go to milan from belem",BookFlight,Belem,Milan,,,
can i go to sacramento?,BookFlight,,Sacramento,,,
please get me back to manaus asap!!,BookFlight,,Manaus,,,
i need a flight from ulsan to denver leaving on september 6,BookFlight,Ulsan,Denver,September 6,,
i wanna go to sacramento from hiroshima,BookFlight,hiroshima,sacramento,,,
hi! we're thinking of going to washington. will try to get all 19 of us to go if that's possible!,BookFlight,,Washington,,,
hello. send me to rosario,BookFlight,,Rosario,,,
i would like to go to rosario from st. petersburg. i have 4600. i can go anytime for however long.,BookFlight,St. Petersburg,Rosario,,,4600
"hi... i don't usually do this
as in, book my own trips, associate with proles like you
me and a friend need to go to fukuoka and be back in sapporo by the 13th of the month
i cant have this getting out though.. so i'm booking it myself
last time i had my staff book things i was swarmed by soul sucking paparazzi",BookFlight,sapporo,fukuoka,,13th,
"hi. i am looking to visit friends queenstown, leaving from belo horizonte. the total will be 6 adults and 5 children",BookFlight,Belo Horizonte,Queenstown,,,
"i need to get to osaka from dallas so i can find mewtwo, he's the last one i need to find and i heard he was spotted in osaka.",BookFlight,Dallas,Osaka,,,
yo im taking 6 kids and 4 adults on a trip yo,BookFlight,,,,,
"hi there, i was wondering if you could do me a huge favour today",BookFlight,,,,,
"hi there. i need flights from beijing to busan
for 3 adults",BookFlight,Beijing,Busan,,,
"good evening. i am hugo, father to five darling children",BookFlight,,,,,
"hey, i would like to find an affordable package to hiroshima from alexandria.",BookFlight,Alexandria,Hiroshima,,,
"london to burlington. sept 12 to 25
for one
got anything?",BookFlight,London,Burlington,Sept 12,25,
good day! we got married last week and we'd like to go off to san antonio for a bit!,BookFlight,,San Antonio,,,
madonna and i need to get as far away from the paparazzi as humanly possible. we want to go to paris from toluca and i need to be back by september 11th because i am performing the next day.,BookFlight,Toluca,Paris,,September 11th,
fukuoka to belo horizonte. 6000. 9th to 17th.,BookFlight,Fukuoka,Belo Horizonte,9th,17th,6000
my place just burnt down and i need to get home immediately!,BookFlight,,,,,
"direct flight from san antonio to cancun, does that even exist?",BookFlight,san antonio,cancun,,,
i’d like to see where i can go from hiroshima. between now and september 5,BookFlight,Hiroshima,,now,September 5,
"hi. i'm looking for an adventure from thursday, august 18 to saturday, september 3. i'm thinking of going to fortaleza. yes, with free breakfast of course. i'm leaving from essen.",BookFlight,Essen,Fortaleza,"Thursday, August 18","Saturday, September 3",
hello hello,BookFlight,,,,,
"hey there, sooo i’m in a bit of a bind where i’m getting married next week and have yet to book a honeymoon..",BookFlight,,,,,
"hey buddy. i wanna maybe go to ciudad juarez
get a little crazy out of the cold lol
leaving from toronto ok????",BookFlight,toronto,ciudad juarez,,,
"hi there, i really want to go to osaka but don't really know what kind of trip i want. i heard from my friend you guys have a wide range of offerings so i want to check out what are the availabilities for osaka.",BookFlight,,Osaka,,,
"hi, i'd like to go from burlington to valencia with my family. we are 6 kids and 4 adults. our budget is 19900.",BookFlight,Burlington,Valencia,,,19900
"hello there, please check to see if there is a flight leaving from toronto to osaka on sept 1 and returning on september 9.",BookFlight,Toronto,Osaka,Sept 1,September 9,
do you have trips out of tel aviv?,BookFlight,Tel Aviv,,,,
"can you get me from indianapolis to st. louis? i need to leave as soon as possible, something horrible has happened back home… :(:(:(",BookFlight,Indianapolis,St. Louis,,,
seattle please leaving jerusalem,BookFlight,Jerusalem,Seattle,,,
hey man.  sick of having my picture taken. need somewhere quiet and away from everyone. tijuana is probably a town no one wants to go to. can you get me a ticket there?,BookFlight,,Tijuana,,,
"i want to leave pittsburgh. for 9 days
and spend 0 dollars",BookFlight,Pittsburgh,,,,0 dollars
"i’m finally taking a break this year, and i’d like to go to punta cana!",BookFlight,,Punta Cana,,,
do you do flights out of san antonio?,BookFlight,San Antonio,,,,
good day sire. i would like to book a recreational stay between august 17 and september 3. what has thou to offer?,BookFlight,,,August 17,September 3,
my friends and i would love to get to phoenix please!,BookFlight,,Phoenix,,,
"hi i am planning on booking a vacation soon, around august 27th",BookFlight,,,August 27th,,
toronto please and from belo horizonte,BookFlight,BELO HORIZONTE,TORONTO,,,
i need to book a trip for my assistant and i.  i am only free to go between sept 6 and sept 18.,BookFlight,,,Sept 6,Sept 18,
"i’m dreamin, of a getaway to the the veg. i live in busan",BookFlight,Busan,Veg,,,
hi i need a 5 day get away!,BookFlight,,,,,
"hello! i'm looking to take my family on vacation soon, and wanted to get a sense of prices",BookFlight,,,,,
hola! i need to go on a trip!,BookFlight,,,,,
hi! i am very excited!!!!,BookFlight,,,,,
"hey there, i'd like to book a long vacation for myself. i live in cordoba but thinking of going abroad to fortaleza",BookFlight,Cordoba,Fortaleza,,,
minneapolis to punta cana,BookFlight,Minneapolis,Punta Cana,,,
